M,N,K,P,run,elapsed 
1000,1000,1000,1,1,1.081856200 
1000,1000,1000,1,2,1.054771500 
1000,1000,1000,1,3,1.044851900 
1260,1260,1260,2,1,1.295162300 
1260,1260,1260,2,2,1.348534200 
1260,1260,1260,2,3,1.297801500 
1587,1587,1587,4,1,2.138901800 
1587,1587,1587,4,2,2.201454100 
1587,1587,1587,4,3,2.131131300 
1817,1817,1817,6,1,2.860698200 
1817,1817,1817,6,2,2.678442000 
1817,1817,1817,6,3,2.759828200 
2289,2289,2289,12,1,12.382974300 
2289,2289,2289,12,2,12.860332300 
2289,2289,2289,12,3,9.974419600 
2714,2714,2714,20,1,20.610710000 
2714,2714,2714,20,2,20.789462600 
2714,2714,2714,20,3,20.473606900 
3175,3175,3175,32,1,36.434915500 
3175,3175,3175,32,2,37.978294700 
3175,3175,3175,32,3,36.848466400 
